Bacteria,Temp,GC Content
Bacillus endophyticus DSM 13796,28,0.38
Bacillus aurantiacus DSM 18675,28,0.42
Bacillus subtilis inaquosorum KCTC 13429,28,0.44
Marinococcus luteus DSM 23126,28,0.49
Marinococcus halotolerans DSM 16375,28,0.5
Bacillus velezensis UCMB5033,28,0.46
Bacillus oryziterrae ZYK,30,0.36
Pontibacillus marinus BH030004,30,0.38
Bacillus simplex II3b11,30,0.4
Bacillus subtilis subtilis 168,30,0.4
Bacillus panaciterrae DSM 19096,30,0.42
Bacillus sp. LM 4-2,30,0.44
Bacillus amyloliquefaciens plantarum M27,30,0.46
Bacillus boroniphilus JCM 21738,30,0.42
Bacillus subtilis KCTC 1028,30,0.44
Bacillus subtilis subtilis 6051-HGW,30,0.44
Bacillus subtilis subtilis SMY,30,0.43
Oceanobacillus iheyensis HTE831,30,0.36
Amphibacillus jilinensis Y1,32,0.37
Oceanobacillus kimchii X50,37,0.34
Bacillus coahuilensis p1.1.43,37,0.35
Paucisalibacillus globulus DSM 18846,37,0.35
Bacillus coahuilensis m2-6,37,0.37
Oceanobacillus massiliensis Ndiop,37,0.4
Bacillus dielmoensis FF4,37,0.41
Salsuginibacillus kocurii DSM 18087,37,0.42
Bacillus aidingensis DSM 18341,37,0.45
Bacillus coagulans GBI-30,37,0.45
Bacillus acidiproducens DSM 23148,37,0.46
Bacillus amyloliquefaciens Campbell F DSM 7,37,0.46
Bacillus chagannorensis DSM 18086,37,0.51
Numidum massiliense mt3,37,0.51
Bacillus cellulosilyticus N-4 DSM 2522,37,0.37
Bacillus cereus B4264,37,0.35
Bacillus mannanilyticus JCM 10596,37,0.39
Lentibacillus juripiscarius JCM 12147,37,0.45
Virgibacillus alimentarius J18,37,0.39
Gracilibacillus lacisalsi DSM 19029,40,0.37
Virgibacillus sp. SK37,40,0.38
Virgibacillus sp. SK37,40,0.38
Bacillus safensis CFA-06,40,0.42
Bacillus clausii KSM-K16,40,0.45
Bacillus methanolicus PB1,45,0.4
Anoxybacillus ayderensis NCIMB 13972,50,0.43
Bacillus licheniformis LMG 7559,50,0.46
Bacillus licheniformis WX-02,50,0.46
Bacillus coagulans XZL4,50,0.48
Bacillus methanolicus MGA3,55,0.39
Anoxybacillus flavithermus yunnanensis E13,55,0.43
Bacillus coagulans 2-6,55,0.47
Bacillus coagulans 36D1 ATCC PTA-5827,55,0.46
Caldibacillus debilis GB1,60,0.52
Geobacillus kaustophilus HTA426,60,0.52
Parageobacillus thermoglucosidasius NBRC 107763,60,0.45
Parageobacillus thermoglucosidasius YU,65,0.44
Geobacillus thermodenitrificans NG80-2,65,0.49
Parageobacillus thermoglucosidasius M10EXG,65,0.44
Caldalkalibacillus thermarum TA2.A1,70,0.49
Caldibacillus debilis DSM 16016,70,0.51